VG,ID,IG,VD
-5.00E+00,1.95E-06,-4.13E-06,5.00E-02
-4.99E+00,1.82E-06,-3.95E-06,5.00E-02
-4.98E+00,1.74E-06,-3.81E-06,5.00E-02
-4.97E+00,1.69E-06,-3.69E-06,5.00E-02
-4.96E+00,1.64E-06,-3.59E-06,5.00E-02
-4.95E+00,1.59E-06,-3.50E-06,5.00E-02
-4.94E+00,1.56E-06,-3.42E-06,5.00E-02
-4.93E+00,1.52E-06,-3.34E-06,5.00E-02
-4.92E+00,1.49E-06,-3.27E-06,5.00E-02
-4.91E+00,1.46E-06,-3.21E-06,5.00E-02
-4.90E+00,1.43E-06,-3.14E-06,5.00E-02
-4.89E+00,1.40E-06,-3.08E-06,5.00E-02
-4.88E+00,1.37E-06,-3.03E-06,5.00E-02
-4.87E+00,1.35E-06,-2.97E-06,5.00E-02
-4.86E+00,1.32E-06,-2.92E-06,5.00E-02
-4.85E+00,1.30E-06,-2.86E-06,5.00E-02
-4.84E+00,1.28E-06,-2.81E-06,5.00E-02
-4.83E+00,1.26E-06,-2.76E-06,5.00E-02
-4.82E+00,1.24E-06,-2.72E-06,5.00E-02
-4.81E+00,1.22E-06,-2.67E-06,5.00E-02
-4.80E+00,1.20E-06,-2.63E-06,5.00E-02
-4.79E+00,1.18E-06,-2.58E-06,5.00E-02
-4.78E+00,1.16E-06,-2.54E-06,5.00E-02
-4.77E+00,1.14E-06,-2.50E-06,5.00E-02
-4.76E+00,1.12E-06,-2.46E-06,5.00E-02
-4.75E+00,1.10E-06,-2.42E-06,5.00E-02
-4.74E+00,1.08E-06,-2.38E-06,5.00E-02
-4.73E+00,1.07E-06,-2.34E-06,5.00E-02
-4.72E+00,1.05E-06,-2.30E-06,5.00E-02
-4.71E+00,1.03E-06,-2.27E-06,5.00E-02
-4.70E+00,1.02E-06,-2.23E-06,5.00E-02
-4.69E+00,1.00E-06,-2.20E-06,5.00E-02
-4.68E+00,9.88E-07,-2.16E-06,5.00E-02
-4.67E+00,9.71E-07,-2.13E-06,5.00E-02
-4.66E+00,9.57E-07,-2.09E-06,5.00E-02
-4.65E+00,9.42E-07,-2.06E-06,5.00E-02
-4.64E+00,9.27E-07,-2.03E-06,5.00E-02
-4.63E+00,9.12E-07,-2.00E-06,5.00E-02
-4.62E+00,8.98E-07,-1.96E-06,5.00E-02
-4.61E+00,8.84E-07,-1.93E-06,5.00E-02
-4.60E+00,8.71E-07,-1.90E-06,5.00E-02
-4.59E+00,8.57E-07,-1.87E-06,5.00E-02
-4.58E+00,8.44E-07,-1.84E-06,5.00E-02
-4.57E+00,8.30E-07,-1.81E-06,5.00E-02
-4.56E+00,8.16E-07,-1.78E-06,5.00E-02
-4.55E+00,8.03E-07,-1.75E-06,5.00E-02
-4.54E+00,7.91E-07,-1.72E-06,5.00E-02
-4.53E+00,7.78E-07,-1.69E-06,5.00E-02
-4.52E+00,7.66E-07,-1.67E-06,5.00E-02
-4.51E+00,7.54E-07,-1.64E-06,5.00E-02
-4.50E+00,7.41E-07,-1.61E-06,5.00E-02
-4.49E+00,7.29E-07,-1.58E-06,5.00E-02
-4.48E+00,7.17E-07,-1.56E-06,5.00E-02
-4.47E+00,7.06E-07,-1.53E-06,5.00E-02
-4.46E+00,6.95E-07,-1.51E-06,5.00E-02
-4.45E+00,6.84E-07,-1.48E-06,5.00E-02
-4.44E+00,6.72E-07,-1.46E-06,5.00E-02
-4.43E+00,6.62E-07,-1.43E-06,5.00E-02
-4.42E+00,6.51E-07,-1.41E-06,5.00E-02
-4.41E+00,6.40E-07,-1.39E-06,5.00E-02
-4.40E+00,6.29E-07,-1.36E-06,5.00E-02
-4.39E+00,6.18E-07,-1.34E-06,5.00E-02
-4.38E+00,6.08E-07,-1.31E-06,5.00E-02
-4.37E+00,5.98E-07,-1.29E-06,5.00E-02
-4.36E+00,5.88E-07,-1.27E-06,5.00E-02
-4.35E+00,5.78E-07,-1.25E-06,5.00E-02
-4.34E+00,5.68E-07,-1.23E-06,5.00E-02
-4.33E+00,5.59E-07,-1.20E-06,5.00E-02
-4.32E+00,5.49E-07,-1.18E-06,5.00E-02
-4.31E+00,5.39E-07,-1.16E-06,5.00E-02
-4.30E+00,5.30E-07,-1.14E-06,5.00E-02
-4.29E+00,5.20E-07,-1.12E-06,5.00E-02
-4.28E+00,5.12E-07,-1.10E-06,5.00E-02
-4.27E+00,5.02E-07,-1.08E-06,5.00E-02
-4.26E+00,4.93E-07,-1.06E-06,5.00E-02
-4.25E+00,4.85E-07,-1.04E-06,5.00E-02
-4.24E+00,4.76E-07,-1.02E-06,5.00E-02
-4.23E+00,4.67E-07,-1.00E-06,5.00E-02
-4.22E+00,4.60E-07,-9.85E-07,5.00E-02
-4.21E+00,4.51E-07,-9.66E-07,5.00E-02
-4.20E+00,4.43E-07,-9.49E-07,5.00E-02
-4.19E+00,4.35E-07,-9.31E-07,5.00E-02
-4.18E+00,4.27E-07,-9.12E-07,5.00E-02
-4.17E+00,4.18E-07,-8.94E-07,5.00E-02
-4.16E+00,4.10E-07,-8.77E-07,5.00E-02
-4.15E+00,4.03E-07,-8.60E-07,5.00E-02
-4.14E+00,3.95E-07,-8.43E-07,5.00E-02
-4.13E+00,3.87E-07,-8.26E-07,5.00E-02
-4.12E+00,3.80E-07,-8.09E-07,5.00E-02
-4.11E+00,3.73E-07,-7.93E-07,5.00E-02
-4.10E+00,3.65E-07,-7.76E-07,5.00E-02
-4.09E+00,3.58E-07,-7.61E-07,5.00E-02
-4.08E+00,3.51E-07,-7.46E-07,5.00E-02
-4.07E+00,3.44E-07,-7.31E-07,5.00E-02
-4.06E+00,3.37E-07,-7.16E-07,5.00E-02
-4.05E+00,3.31E-07,-7.01E-07,5.00E-02
-4.04E+00,3.24E-07,-6.86E-07,5.00E-02
-4.03E+00,3.17E-07,-6.72E-07,5.00E-02
-4.02E+00,3.11E-07,-6.58E-07,5.00E-02
-4.01E+00,3.04E-07,-6.44E-07,5.00E-02
-4.00E+00,2.98E-07,-6.29E-07,5.00E-02
-3.99E+00,2.92E-07,-6.17E-07,5.00E-02
-3.98E+00,2.86E-07,-6.04E-07,5.00E-02
-3.97E+00,2.80E-07,-5.91E-07,5.00E-02
-3.96E+00,2.74E-07,-5.78E-07,5.00E-02
-3.95E+00,2.68E-07,-5.65E-07,5.00E-02
-3.94E+00,2.63E-07,-5.52E-07,5.00E-02
-3.93E+00,2.57E-07,-5.40E-07,5.00E-02
-3.92E+00,2.51E-07,-5.28E-07,5.00E-02
-3.91E+00,2.46E-07,-5.16E-07,5.00E-02
-3.90E+00,2.40E-07,-5.03E-07,5.00E-02
-3.89E+00,2.35E-07,-4.92E-07,5.00E-02
-3.88E+00,2.29E-07,-4.81E-07,5.00E-02
-3.87E+00,2.24E-07,-4.70E-07,5.00E-02
-3.86E+00,2.19E-07,-4.58E-07,5.00E-02
-3.85E+00,2.14E-07,-4.48E-07,5.00E-02
-3.84E+00,2.09E-07,-4.37E-07,5.00E-02
-3.83E+00,2.04E-07,-4.26E-07,5.00E-02
-3.82E+00,1.99E-07,-4.16E-07,5.00E-02
-3.81E+00,1.95E-07,-4.06E-07,5.00E-02
-3.80E+00,1.90E-07,-3.96E-07,5.00E-02
-3.79E+00,1.86E-07,-3.86E-07,5.00E-02
-3.78E+00,1.81E-07,-3.76E-07,5.00E-02
-3.77E+00,1.77E-07,-3.67E-07,5.00E-02
-3.76E+00,1.72E-07,-3.57E-07,5.00E-02
-3.75E+00,1.68E-07,-3.48E-07,5.00E-02
-3.74E+00,1.64E-07,-3.39E-07,5.00E-02
-3.73E+00,1.60E-07,-3.30E-07,5.00E-02
-3.72E+00,1.56E-07,-3.22E-07,5.00E-02
-3.71E+00,1.52E-07,-3.13E-07,5.00E-02
-3.70E+00,1.48E-07,-3.05E-07,5.00E-02
-3.69E+00,1.44E-07,-2.96E-07,5.00E-02
-3.68E+00,1.40E-07,-2.89E-07,5.00E-02
-3.67E+00,1.37E-07,-2.81E-07,5.00E-02
-3.66E+00,1.33E-07,-2.73E-07,5.00E-02
-3.65E+00,1.30E-07,-2.66E-07,5.00E-02
-3.64E+00,1.26E-07,-2.58E-07,5.00E-02
-3.63E+00,1.23E-07,-2.51E-07,5.00E-02
-3.62E+00,1.20E-07,-2.43E-07,5.00E-02
-3.61E+00,1.17E-07,-2.37E-07,5.00E-02
-3.60E+00,1.15E-07,-2.30E-07,5.00E-02
-3.59E+00,1.12E-07,-2.23E-07,5.00E-02
-3.58E+00,1.10E-07,-2.17E-07,5.00E-02
-3.57E+00,1.08E-07,-2.10E-07,5.00E-02
-3.56E+00,1.06E-07,-2.04E-07,5.00E-02
-3.55E+00,1.05E-07,-1.98E-07,5.00E-02
-3.54E+00,1.04E-07,-1.92E-07,5.00E-02
-3.53E+00,1.04E-07,-1.86E-07,5.00E-02
-3.52E+00,1.05E-07,-1.80E-07,5.00E-02
-3.51E+00,1.07E-07,-1.74E-07,5.00E-02
-3.50E+00,1.11E-07,-1.69E-07,5.00E-02
-3.49E+00,1.16E-07,-1.64E-07,5.00E-02
-3.48E+00,1.24E-07,-1.59E-07,5.00E-02
-3.47E+00,1.35E-07,-1.54E-07,5.00E-02
-3.46E+00,1.50E-07,-1.49E-07,5.00E-02
-3.45E+00,1.69E-07,-1.44E-07,5.00E-02
-3.44E+00,1.96E-07,-1.39E-07,5.00E-02
-3.43E+00,2.30E-07,-1.34E-07,5.00E-02
-3.42E+00,2.75E-07,-1.30E-07,5.00E-02
-3.41E+00,3.33E-07,-1.26E-07,5.00E-02
-3.40E+00,4.08E-07,-1.22E-07,5.00E-02
-3.39E+00,5.07E-07,-1.18E-07,5.00E-02
-3.38E+00,6.33E-07,-1.13E-07,5.00E-02
-3.37E+00,7.96E-07,-1.09E-07,5.00E-02
-3.36E+00,1.01E-06,-1.05E-07,5.00E-02
-3.35E+00,1.28E-06,-1.02E-07,5.00E-02
-3.34E+00,1.63E-06,-9.84E-08,5.00E-02
-3.33E+00,2.07E-06,-9.53E-08,5.00E-02
-3.32E+00,2.64E-06,-9.18E-08,5.00E-02
-3.31E+00,3.37E-06,-8.84E-08,5.00E-02
-3.30E+00,4.30E-06,-8.56E-08,5.00E-02
-3.29E+00,5.48E-06,-8.24E-08,5.00E-02
-3.28E+00,6.86E-06,-7.94E-08,5.00E-02
-3.27E+00,8.74E-06,-7.63E-08,5.00E-02
-3.26E+00,1.11E-05,-7.36E-08,5.00E-02
-3.25E+00,1.42E-05,-7.13E-08,5.00E-02
-3.24E+00,1.80E-05,-6.84E-08,5.00E-02
-3.23E+00,2.28E-05,-6.61E-08,5.00E-02
-3.22E+00,2.89E-05,-6.37E-08,5.00E-02
-3.21E+00,3.65E-05,-6.14E-08,5.00E-02
-3.20E+00,4.59E-05,-5.91E-08,5.00E-02
-3.19E+00,5.75E-05,-5.67E-08,5.00E-02
-3.18E+00,7.20E-05,-5.46E-08,5.00E-02
-3.17E+00,8.97E-05,-5.22E-08,5.00E-02
-3.16E+00,1.11E-04,-5.04E-08,5.00E-02
-3.15E+00,1.38E-04,-4.84E-08,5.00E-02
-3.14E+00,1.69E-04,-4.69E-08,5.00E-02
-3.13E+00,2.07E-04,-4.48E-08,5.00E-02
-3.12E+00,2.52E-04,-4.31E-08,5.00E-02
-3.11E+00,3.05E-04,-4.16E-08,5.00E-02
-3.10E+00,3.67E-04,-4.00E-08,5.00E-02
-3.09E+00,4.39E-04,-3.84E-08,5.00E-02
-3.08E+00,5.23E-04,-3.71E-08,5.00E-02
-3.07E+00,6.18E-04,-3.55E-08,5.00E-02
-3.06E+00,7.28E-04,-3.43E-08,5.00E-02
-3.05E+00,8.50E-04,-3.28E-08,5.00E-02
-3.04E+00,9.76E-04,-3.15E-08,5.00E-02
-3.03E+00,1.13E-03,-3.02E-08,5.00E-02
-3.02E+00,1.30E-03,-2.94E-08,5.00E-02
-3.01E+00,1.48E-03,-2.81E-08,5.00E-02
-3.00E+00,1.68E-03,-2.72E-08,5.00E-02
-2.99E+00,1.89E-03,-2.62E-08,5.00E-02
-2.98E+00,2.13E-03,-2.49E-08,5.00E-02
-2.97E+00,2.38E-03,-2.39E-08,5.00E-02
-2.96E+00,2.64E-03,-2.30E-08,5.00E-02
-2.95E+00,2.92E-03,-2.22E-08,5.00E-02
-2.94E+00,3.22E-03,-2.13E-08,5.00E-02
-2.93E+00,3.52E-03,-2.04E-08,5.00E-02
-2.92E+00,3.84E-03,-1.95E-08,5.00E-02
-2.91E+00,4.17E-03,-1.89E-08,5.00E-02
-2.90E+00,4.52E-03,-1.79E-08,5.00E-02
-2.89E+00,4.87E-03,-1.74E-08,5.00E-02
-2.88E+00,5.23E-03,-1.66E-08,5.00E-02
-2.87E+00,5.60E-03,-1.61E-08,5.00E-02
-2.86E+00,5.98E-03,-1.55E-08,5.00E-02
-2.85E+00,6.36E-03,-1.48E-08,5.00E-02
-2.84E+00,6.75E-03,-1.42E-08,5.00E-02
-2.83E+00,7.13E-03,-1.36E-08,5.00E-02
-2.82E+00,7.53E-03,-1.31E-08,5.00E-02
-2.81E+00,7.89E-03,-1.27E-08,5.00E-02
-2.80E+00,8.29E-03,-1.22E-08,5.00E-02
-2.79E+00,8.68E-03,-1.19E-08,5.00E-02
-2.78E+00,9.08E-03,-1.14E-08,5.00E-02
-2.77E+00,9.47E-03,-1.10E-08,5.00E-02
-2.76E+00,9.87E-03,-1.05E-08,5.00E-02
-2.75E+00,1.03E-02,-1.01E-08,5.00E-02
-2.74E+00,1.06E-02,-9.67E-09,5.00E-02
-2.73E+00,1.10E-02,-9.49E-09,5.00E-02
-2.72E+00,1.14E-02,-9.11E-09,5.00E-02
-2.71E+00,1.18E-02,-8.75E-09,5.00E-02
-2.70E+00,1.22E-02,-8.47E-09,5.00E-02
-2.69E+00,1.25E-02,-8.13E-09,5.00E-02
-2.68E+00,1.29E-02,-7.87E-09,5.00E-02
-2.67E+00,1.33E-02,-7.51E-09,5.00E-02
-2.66E+00,1.36E-02,-7.23E-09,5.00E-02
-2.65E+00,1.40E-02,-6.97E-09,5.00E-02
-2.64E+00,1.43E-02,-6.71E-09,5.00E-02
-2.63E+00,1.47E-02,-6.48E-09,5.00E-02
-2.62E+00,1.50E-02,-6.21E-09,5.00E-02
-2.61E+00,1.53E-02,-5.93E-09,5.00E-02
-2.60E+00,1.56E-02,-5.80E-09,5.00E-02
-2.59E+00,1.59E-02,-5.57E-09,5.00E-02
-2.58E+00,1.63E-02,-5.40E-09,5.00E-02
-2.57E+00,1.65E-02,-5.15E-09,5.00E-02
-2.56E+00,1.68E-02,-5.08E-09,5.00E-02
-2.55E+00,1.71E-02,-4.89E-09,5.00E-02
-2.54E+00,1.74E-02,-4.67E-09,5.00E-02
-2.53E+00,1.77E-02,-4.57E-09,5.00E-02
-2.52E+00,1.80E-02,-4.40E-09,5.00E-02
-2.51E+00,1.82E-02,-4.30E-09,5.00E-02
